1000031,s,0.0,500.0,500.0,+,2021/11/14    10:30
1000031,s,500.0,200.0,300.0,-,2021/11/14    10:30
1000031,s,300.0,10.0,310.0,+,2021/11/14    10:31
1000031,s,310.0,10.0,320.0,+,2021/11/14    10:31
1000031,s,320.0,10.0,330.0,+,2021/11/14    10:31
1000031,s,330.0,10.0,340.0,+,2021/11/14    10:31
1000031,s,340.0,10.0,350.0,+,2021/11/14    10:311000037,c,0.0,200.0,200.0,+,2021/11/15    11:14
1000037,c,200.0,200.0,400.0,+,2021/11/15    11:14
1000037,c,400.0,400.0,0.0,r,2021/11/15    11:14
1000031,s,350.0,10.0,340.0,-,2021/11/15    11:35
1000031,s,340.0,10.0,330.0,-,2021/11/15    11:35
